0,1,2,3,4,5,6,7,8,9,10,11,12
ID1,Group2,RA,Dec,"LyC3
Pointing",4 zlim,"5 zphot
(ZF)","6 zphot
(CS)","7 zphot
(CA)","8 ∆zphot
(CA)","9 zspec
(lit.)","10 zspec
(LRIS)",11 zconf
zf 9775,A,150.102478,2.281554,F336W 2,3.087,4.266,4.246,4.231,0.074,0.44612,4.365,1
zf 11754,A,150.047912,2.303804,F435W 2,4.391,4.453,0.705,-,-,-,4.470,1
zf 14000,A,150.208221,2.328479,F336W 1,3.087,3.953,0.301,-,-,3.77913,3.727,1
zf 11423,B,150.201065,2.300642,F336W 1,3.087,0.796,0.716,0.813,0.094,3.65513,-,2
zf 12283,B,150.192413,2.309807,F336W 1,3.087,3.520,0.372,3.592,0.126,-,-,2
zf 8333,B,150.114257,2.266746,F336W 2,3.087,3.223,3.117,0.285,0.056,-,-,2
zf 8461,B,150.118164,2.268226,F336W 2,3.087,3.197,0.443,0.350,0.016,-,-,2
zf 13836,B,150.196579,2.326127,F336W 1,3.087,3.622,-,0.338,0.324,-,-,2
zf 14198,B,150.196670,2.330944,F336W 1,3.087,3.826,2.180,0.619,0.020,-,-,2
zf 13312,B,150.201431,2.320581,F336W 1,3.087,3.159,3.165,2.748,1.283,-,-,2
zf 6745,B,150.115646,2.249375,F435W 1a,4.391,5.461,-,1.213,0.772,-,-,2
zf 14060,B,150.211822,2.329048,F336W 1,3.087,3.158,-,-,-,-,-,2
zf 13676,B,150.220871,2.324596,F336W 1,3.087,4.779,4.557,-,-,-,-,2
cs 658350,C,150.207800,2.300505,F336W 1,3.087,-,3.171,-,-,-,-,3
cs 621227,C,150.106355,2.244453,F336W 2,3.087,-,3.931,-,-,-,-,3
cs 626018,C,150.111087,2.251412,F336W 2,3.087,-,3.578,-,-,-,-,3
cs 667332,C,150.035636,2.314277,F435W 2,4.391,-,5.419,-,-,-,-,3
cs 621890,C,150.121013,2.245430,F435W 1a,4.391,-,4.567,-,-,-,-,3
cs 681305,C,150.011024,2.334490,F435W 2,4.391,-,4.656,-,-,-,-,3
zf 8009,C,150.114654,2.263270,F336W 2,3.087,0.833,3.218,0.656,0.328,-,-,4
zf 9669,C,150.098083,2.280273,F336W 2,3.087,0.415,3.871,0.377,0.029,-,-,4
zf 12022,C,150.193847,2.306703,F336W 1,3.087,0.652,3.164,0.723,0.038,-,-,4
zf 14044,C,150.199768,2.32866,F336W 1,3.087,0.545,3.939,0.483,0.017,-,-,4
cs 671985,C,150.192170,2.321238,F336W 1,3.087,-,3.301,2.025,0.565,-,-,4
zf 9963,C,150.10466,2.284251,F336W 2,3.087,0.332,3.095,0.436,0.052,-,-,4
cs 643060,C,150.104563,2.277120,F336W 2,3.087,-,3.496,0.579,0.194,-,-,4
cs 723862,C,150.109444,2.398033,F435W 1b,4.391,-,5.286,2.249,0.154,-,-,4
zf 12042,C,150.222595,2.307420,F336W 1,3.087,1.080,4.122,-,-,-,-,4
zf 8356,C,150.13797,2.267169,F336W 2,3.087,2.009,3.231,1.303,0.639,-,-,4
zf 10407,C,150.205856,2.289908,F336W 1,3.087,1.061,3.45,-,-,-,-,4
zf 13775,C,150.044174,2.326125,F435W 2,4.391,0.632,4.988,-,-,-,-,4
zf 5935,C,150.118850,2.241288,F435W 1a,4.391,2.460,4.807,2.024,0.549,-,-,4
zf 13099,C,150.195251,2.318458,F336W 1,3.087,0.312,3.453,1.869,1.692,-,-,4
zf 6857,C,150.125915,2.250819,F336W 2,3.087,2.447,3.227,0.371,0.457,-,-,4
cs 611354,C,150.107760,2.229506,F435W 1a,4.391,-,5.338,1.687,0.369,-,-,4
